query_idx,target_idx,rank,dist,set_size,filter,query_addr,target_addr
92,255479,66,5.857301712036133,473741,none,0x4a9d42038252d2ae22fb5fd857b4d0117e7a5ff1,0xbd4905915b0996dce1dbc4d0a60bee999b1f19da
255479,92,220,5.857301712036133,473741,none,0xbd4905915b0996dce1dbc4d0a60bee999b1f19da,0x4a9d42038252d2ae22fb5fd857b4d0117e7a5ff1
13605,169587,518,5.379031658172607,473741,none,0xa338096d43effc151e7e89519b524ca5a7e5626f,0x1ea2ae4f384a804421c200d46f8d31f1dc20fdf9
169587,13605,491,5.379031658172607,473741,none,0x1ea2ae4f384a804421c200d46f8d31f1dc20fdf9,0xa338096d43effc151e7e89519b524ca5a7e5626f
238933,205855,195,5.678640842437744,473741,none,0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c,0x4ff3eb0a7f68d6eb80fcf5039032ec927131ef2e
205855,238933,157,5.678640842437744,473741,none,0x4ff3eb0a7f68d6eb80fcf5039032ec927131ef2e,0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c
192658,202703,197,4.490216255187988,473741,none,0xefef50ebacd8da3c13932ac204361b704eb8292c,0x1c728e89d91863134dcef2caff843d1fd3f7efe9
202703,192658,113,4.490216255187988,473741,none,0x1c728e89d91863134dcef2caff843d1fd3f7efe9,0xefef50ebacd8da3c13932ac204361b704eb8292c
440603,222103,52577,9.470571517944336,473741,none,0xd32d1e3752f2ee46f2bba0358961d52821a32497,0xa54f81733201c1f555bf5e51e4829a1c7dd3447b
222103,440603,10773,9.470571517944336,473741,none,0xa54f81733201c1f555bf5e51e4829a1c7dd3447b,0xd32d1e3752f2ee46f2bba0358961d52821a32497
26070,205895,1,2.6910030841827393,473741,none,0x26f457046055190570cac1e2fc54cfdba0144488,0xf3248b08d63bf178a9b08a545c6ec42aa5d5673c
205895,26070,3,2.6910030841827393,473741,none,0xf3248b08d63bf178a9b08a545c6ec42aa5d5673c,0x26f457046055190570cac1e2fc54cfdba0144488
79909,59298,1,4.003974914550781,473741,none,0x03c823e96f6964076c118395f08a2d7edf0f8a8c,0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4
59298,79909,1,4.003974914550781,473741,none,0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4,0x03c823e96f6964076c118395f08a2d7edf0f8a8c
165695,220994,17054,8.453930854797363,473741,none,0x0e4ad69648fc4752d089ba5ba0e1bf43c129616c,0x6f6b15bcce6b2fee40af3c32a8547790ab2aa275
220994,165695,6934,8.453930854797363,473741,none,0x6f6b15bcce6b2fee40af3c32a8547790ab2aa275,0x0e4ad69648fc4752d089ba5ba0e1bf43c129616c
222040,211659,225,5.74973726272583,473741,none,0x5acfad7c03a64696f6a50858aa7daff7883f1fb6,0x73641ee05a9d6a8a23d3188ea13b690a078eac05
211659,222040,1027,5.74973726272583,473741,none,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,0x5acfad7c03a64696f6a50858aa7daff7883f1fb6
3971,191200,43,3.9237473011016846,473741,none,0x764d6f045b6ab1a60c4595144c185c5ee60fa3df,0x9098a50bd95a097599cdb0e77185dedee88b73a3
191200,3971,36,3.9237473011016846,473741,none,0x9098a50bd95a097599cdb0e77185dedee88b73a3,0x764d6f045b6ab1a60c4595144c185c5ee60fa3df
129238,249633,382,5.554757118225098,473741,none,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,0xb566e9fda21f470925fd6d40f24f7b629560cd14
249633,129238,765,5.554757118225098,473741,none,0xb566e9fda21f470925fd6d40f24f7b629560cd14,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2
126632,189703,153729,9.604042053222656,473741,none,0x35ee6c0de7ee25a7e4ccfb1cf810bce5943a80f4,0x13e60906ee3e2085b96461f59bfd1e07115e621b
189703,126632,32293,9.604042053222656,473741,none,0x13e60906ee3e2085b96461f59bfd1e07115e621b,0x35ee6c0de7ee25a7e4ccfb1cf810bce5943a80f4
231569,337694,18,4.043067455291748,473741,none,0xe245f6cb2081970ec559ccdefba2839c4e475607,0x5bcb48ce1a767bfa38d669564041d42dc710c32e
337694,231569,4,4.043067455291748,473741,none,0x5bcb48ce1a767bfa38d669564041d42dc710c32e,0xe245f6cb2081970ec559ccdefba2839c4e475607
153940,125977,678,6.246560573577881,473741,none,0xc0d95fbb7bf19c7665a1c4042b683182b34e2150,0xac2817c24baedfd6f945a25711f3403c8ea376b6
125977,153940,336,6.246560573577881,473741,none,0xac2817c24baedfd6f945a25711f3403c8ea376b6,0xc0d95fbb7bf19c7665a1c4042b683182b34e2150
30926,219555,1197,7.369446754455566,473741,none,0x6f26ce8ccef85afbc944567bd41d63d09d3e3033,0xc174ca7cba75ed9ba896b9a46b2ff96e192aa773
219555,30926,7833,7.369446754455566,473741,none,0xc174ca7cba75ed9ba896b9a46b2ff96e192aa773,0x6f26ce8ccef85afbc944567bd41d63d09d3e3033
227393,190899,333,5.4092631340026855,473741,none,0x537f62d5f099edd9f0fe78501d8c9d096082b573,0xf768f5f340e89698465fc7c12f31cb485fff98d2
190899,227393,1003,5.4092631340026855,473741,none,0xf768f5f340e89698465fc7c12f31cb485fff98d2,0x537f62d5f099edd9f0fe78501d8c9d096082b573
131040,3846,76,4.643209934234619,473741,none,0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041,0x4133c79e575591b6c380c233fffb47a13348de86
3846,131040,31,4.643209934234619,473741,none,0x4133c79e575591b6c380c233fffb47a13348de86,0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041
206755,211105,18,4.795393466949463,473741,none,0x577d6f16aabe0c30d8b4f2df8c0bf24628abee6d,0xb5760c8bd98be527700203b7ad7f14780ebe7cad
211105,206755,157,4.795393466949463,473741,none,0xb5760c8bd98be527700203b7ad7f14780ebe7cad,0x577d6f16aabe0c30d8b4f2df8c0bf24628abee6d
33581,7395,467,7.565747261047363,473741,none,0x47930c76790c865217472f2ddb4d14c640ee450a,0x8fd005075e6fff5431e5cbb5befe7495e2fd72c5
7395,33581,3226,7.565747261047363,473741,none,0x8fd005075e6fff5431e5cbb5befe7495e2fd72c5,0x47930c76790c865217472f2ddb4d14c640ee450a
211273,218829,1,2.74198579788208,473741,none,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733,0xe9d18dbfd105155eb367fcfef87eaaafd15ea4b2
218829,211273,1,2.74198579788208,473741,none,0xe9d18dbfd105155eb367fcfef87eaaafd15ea4b2,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733
